funding_round_permalink,interval,funding_round,company_country_code,company_sector,time_since_first_investment,time_since_last_investment,company_age,avg_time_between_rounds,investor_country_code,investor_name
/funding-round/d1926b6553faffc226f9674fda00424c,"[ 791647 , 1300000 )",seed,GBR,"['Financials', 'Consumer Discretionary']",17.37,2.4,18.37,4.99,['USA' 'ESP' 'FRA'],['Techstars Ventures' 'Cabiedes & Partners' 'Partech Ventures']
/funding-round/0fa5ec740d4e96e390b7882f53bb4f34,"[ 6000000 , 10000000 )",venture B,USA,['Energy'],98.3,24.13,145.17,14.83,['NLD' 'USA'],"['DSM Venturing' 'Flagship Ventures' 'OVP Venture Partners'
 'Physic Ventures']"
/funding-round/2663bd5711b007e65e682e0c944d0a5c,"[ 6000000 , 10000000 )",venture A,USA,['Energy'],98.3,24.13,145.17,14.83,['USA'],['Flagship Ventures' 'Physic Ventures']
/funding-round/1616f01a966b5f463d90f75027b0f84c,"[ 3791804 , 6000000 )",venture B,USA,['Health Care'],54.93,12.83,84.27,14.03,['USA'],"['Canaan Partners' 'Cultivian Sandbox Ventures'
 'Flybridge Capital Partners']"
/funding-round/3c2f47d39986b8b4393b9a1a39787cf2,"[ 2100000 , 3791804 )",venture A,USA,['Health Care'],54.93,12.83,84.27,14.03,['USA'],['Founder Collective']
/funding-round/62db4d38f6afc26ab4de30aa1e35c569,"[ 6000000 , 10000000 )",venture A,CAN,['Communication Services'],132.97,102.6,132.97,10.12,['CAN' 'USA'],['Brightspark Ventures' 'GrowthWorks Capital' 'Rho Capital Partners']
/funding-round/e55f0d746ba500c6c36a2ddd7b78a240,"[ 791647 , 1300000 )",seed,KOR,['Information Technology'],22.87,22.87,28.5,1.0,['KOR'],['Capstone Partners Korea']
/funding-round/0f645fc4f65348a2b35da3273d24b7f8,"[ 6000000 , 10000000 )",venture A,BRA,"['Information Technology', 'Financials']",29.4,6.17,35.57,7.74,['URY' 'USA'],"['Kaszek Ventures' 'QED Investors' 'Sequoia Capital' 'Gene Lockhart'
 'Nicolas Berggruen']"
/funding-round/d3127397d2b7c2a4a451d68ab99e8f1e,"[ 10000000 , 20000000 )",venture B,BRA,"['Information Technology', 'Financials']",29.4,6.17,35.57,7.74,['URY' 'USA'],"['Kaszek Ventures' 'QED Investors' 'Sequoia Capital'
 'Tiger Global Management']"
/funding-round/dce1f4256225533772c4b90701a68dc3,"[ 6000000 , 10000000 )",venture A,SGP,"['Consumer Discretionary', 'Information Technology']",50.47,50.47,61.2,1.0,['SGP'],['JAFCO Asia']
/funding-round/ce47ec43be4bb39c6f4b5841b3effffb,"[ 791647 , 1300000 )",seed,USA,['Consumer Discretionary'],1.73,1.73,23.4,1.0,['USA' 'TWN'],"['Anthiem Ventures' 'FF Angel LLC' 'Foxconn Technology Group'
 'StartUp PHL']"
/funding-round/e652201ef96f2acbe1dddde1ce5c43de,"[ 414705 , 791647 )",seed,FIN,['Health Care'],33.7,27.67,47.77,3.02,['FIN'],['Reaktor Ventures']
/funding-round/b9ebde5f7db848f99ce636741400834d,"[ 184000 , 414705 )",seed,USA,"['Financials', 'Health Care', 'Real Estate', 'Information Technology']",5.5,5.5,35.57,1.0,['USA'],['Portland Seed Fund']
/funding-round/b0593696fcd20adc452ed71c6fc667e2,"[ 6000000 , 10000000 )",venture A,USA,['Information Technology'],25.73,25.73,59.93,1.0,['USA'],['Atlas Venture']
/funding-round/141dd9ab8433219dff98e36970e99567,"[ 791647 , 1300000 )",seed,GBR,['Health Care'],4.2,4.2,11.23,1.0,['GBR'],['Mercia Fund Management']
/funding-round/99a2e4b15d97d126686001f9d2d268f1,"[ 6000000 , 10000000 )",venture A,LUX,"['Information Technology', 'Communication Services', 'Financials']",62.13,62.13,85.0,1.0,['GBR' 'USA'],['Abraaj Group' 'Intel Capital']
/funding-round/1c68b5d2e2fec8f9bff480e35b4f9a7c,"[ 10000000 , 20000000 )",venture E,USA,['Information Technology'],133.47,59.37,218.2,24.7,['USA'],"['ABS Ventures' 'CMGI @Ventures' 'Novak Biddle Venture Partners'
 'Updata Partners']"
/funding-round/f0979bf13f67b11a0fe53d4129df8c80,"[ 6000000 , 10000000 )",venture C,USA,['Information Technology'],133.47,59.37,218.2,24.7,['USA'],"['ABS Ventures' 'CMGI @Ventures' 'Novak Biddle Venture Partners'
 'Updata Venture Partners' 'Ted Leonsis']"
/funding-round/550e0ab9e2c5ef269123c5360edcd418,"[ 6000000 , 10000000 )",venture B,CAN,['Information Technology'],119.37,119.37,266.9,1.0,['CAN'],['Growth Works' 'Latitude Partners' 'David Levy' 'David Schenkel']
/funding-round/1eb7381e68e4e76a19270b342da85b25,"[ 6000000 , 10000000 )",venture A,USA,['Information Technology'],24.17,24.17,35.57,1.0,['USA'],['Bain Capital Ventures']
/funding-round/726d2bd4cde3b6ce87aff13725b33401,"[ 6000000 , 10000000 )",venture A,USA,"['Communication Services', 'Information Technology', 'Industrials']",8.27,8.27,72.1,1.0,['USA'],['BYU Cougar Capital' 'Peak Ventures' 'Pelion Venture Partners']
/funding-round/3e29ca23437a9e5edeb68bb8d6256d51,"[ 184000 , 414705 )",angel,USA,['Information Technology'],55.93,54.27,58.9,1.0,['USA' 'CHL'],['Arch Grants' 'Start-Up Chile']
/funding-round/8c0aba94663c515653a450fdb59b9ec1,"[ 2100000 , 3791804 )",venture A,JPN,['Communication Services'],48.37,48.37,63.5,1.0,['JPN'],"['Adways Inc.' 'GMO VenturePartners' 'JAFCO Japan' 'MUFJ Capital'
 'NetAge (Japan)']"
/funding-round/e0c5155ab66aecdaf5d031354026b068,"[ 791647 , 1300000 )",seed,USA,['Communication Services'],106.53,92.07,109.67,7.23,['USA'],"['Felicis Ventures' 'XGYC' 'Frank Caufield' 'Georges Harik'
 'Paul Buchheit' 'Paul Graham' 'Ron Garret' 'Trevor Blackwell']"
/funding-round/dfa622b4e29b5588b972a7f0dff1310e,"[ 791647 , 1300000 )",seed,USA,['Health Care'],19.4,17.37,21.43,1.02,['USA'],['TriStar Technology Ventures']
/funding-round/c6af527556705263b0222f0df6627c97,"[ 10000000 , 20000000 )",venture D,USA,['Health Care'],78.47,30.23,120.8,8.04,['USA'],"['Ascension Ventures' 'Polaris Partners' 'SV Life Sciences'
 'Versant Ventures']"
/funding-round/cb6129886a337079735c334e86089967,"[ 3791804 , 6000000 )",venture E,USA,['Health Care'],78.47,30.23,120.8,8.04,['USA'],['Ascension Ventures' 'Baxter International']
/funding-round/e40ca59cb69f08ed4f31c7d0e3a9a377,"[ 10000000 , 20000000 )",venture C,USA,['Health Care'],78.47,30.23,120.8,8.04,['USA'],['Polaris Partners' 'SV Life Sciences' 'Versant Ventures']
/funding-round/ff4070cb0f778708c5cb79c850e07982,"[ 3791804 , 6000000 )",venture A,USA,"['Financials', 'Information Technology']",60.97,57.7,71.07,1.63,['USA'],['Kleiner Perkins Caufield & Byers' 'Omar Hamoui' 'Ron Conway']
/funding-round/30b8cab788471fed4d7e2b0468a25f0d,"[ 791647 , 1300000 )",seed,BEL,"['Industrials', 'Financials']",193.87,67.57,242.57,63.15,['BEL'],['Emerge']
/funding-round/1ef7eef9412ecb5c9ba0cc6c1bc88213,"[ 791647 , 1300000 )",seed,USA,"['Industrials', 'Communication Services', 'Information Technology']",67.6,27.53,22.53,4.01,['USA'],['National Science Foundation']
/funding-round/8fc638f90259f18ac1566bdc9456cefc,"[ 791647 , 1300000 )",seed,USA,"['Industrials', 'Communication Services', 'Information Technology']",67.6,27.53,22.53,4.01,['USA'],['CIT GAP Funds']
/funding-round/8aa7cb83dcf8dd3326fe50870d6db00f,"[ 10000000 , 20000000 )",venture B,CHE,['Health Care'],63.57,63.57,108.63,1.0,['DEU' 'USA'],['Boehringer Ingelheim Venture Fund' 'Versant Ventures']
/funding-round/b26061236033d3a860329f5d18688bc9,"[ 3791804 , 6000000 )",venture A,CHN,"['Financials', 'Industrials']",20.93,20.93,30.53,1.0,['HKG' 'CHN'],['Ceyuan Ventures' 'Mandra Capital' 'PreAngel' 'VenturesLab']
